chr,start,stop,length,Type,Gene,New,Target,Tiling
chr2,29940444,29940563,119,Exon,ALK,,NM_004304:exon2,1X
chr2,30142859,30143525,666,Exon,ALK,,NM_004304:exon1,1X
chr7,140453075,140453193,118,Exon,BRAF,,NM_004333:exon15,1X
chr7,140481494,140482820,1326,Intron,BRAF,,BRAF_intron_10,1X
chr7,140494268,140500161,5893,Intron,BRAF,,BRAF_intron_7,1X
chr7,140487385,140494107,6722,Intron,BRAF,,BRAF_intron_8,1X
chr7,140482958,140487347,4389,Intron,BRAF,,BRAF_intron_9,1X
chrX,39911362,39911653,291,Exon,BCOR,,NM_001123385:exon15,1X
chr5,149784744,149785821,1077,Intron,CD74,,NM_004355:intron4,2X
chr5,149784331,149784647,316,Intron,CD74,,NM_004355:intron5,2X
chr5,149782876,149784242,1366,Intron,CD74,,NM_004355:intron6,2X
chr5,149782189,149782683,494,Intron,CD74,,CD74:intron7,2X
chr17,62006794,62006835,41,Exon,CD79B,,NM_001039933:exon5,1X
chr9,21968724,21968770,46,Exon,CDKN2A,yes,NM_001195132:exon3,1X
chr9,21970901,21971207,306,Exon,CDKN2A,yes,NM_001195132:exon2,1X
chr9,21974476,21974826,350,Exon,CDKN2A,yes,NM_001195132:exon1,1X
chr9,22005986,22006246,260,Exon,CDKN2B,yes,NM_004936:exon2,1X
chr9,22008716,22008952,236,Exon,CDKN2B,yes,NM_004936:exon1,1X
chr3,41266017,41266244,227,Exon,CTNNB1,,NM_001904:exon3,1X
chr14,95556835,95557000,165,Exon,DICER1,yes,NM_030621:exon28,1X
chr14,95557371,95557446,75,Exon,DICER1,yes,NM_030621:exon27,1X
chr14,95557540,95557702,162,Exon,DICER1,yes,NM_030621:exon26,1X
chr14,95560225,95560493,268,Exon,DICER1,yes,NM_030621:exon25,1X
chr14,95562109,95563050,941,Exon,DICER1,yes,NM_030621:exon24,1X
chr14,95566117,95566272,155,Exon,DICER1,yes,NM_030621:exon23,1X
chr14,95569683,95570463,780,Exon,DICER1,yes,NM_030621:exon22,1X
chr14,95571408,95571583,175,Exon,DICER1,yes,NM_030621:exon21,1X
chr14,95572015,95572120,105,Exon,DICER1,yes,NM_030621:exon20,1X
chr14,95572378,95572560,182,Exon,DICER1,yes,NM_030621:exon19,1X
chr14,95573945,95574098,153,Exon,DICER1,yes,NM_030621:exon18,1X
chr14,95574217,95574430,213,Exon,DICER1,yes,NM_030621:exon17,1X
chr14,95574661,95574840,179,Exon,DICER1,yes,NM_030621:exon16,1X
chr14,95577644,95577793,149,Exon,DICER1,yes,NM_030621:exon15,1X
chr14,95578509,95578584,75,Exon,DICER1,yes,NM_030621:exon14,1X
chr14,95579429,95579561,132,Exon,DICER1,yes,NM_030621:exon13,1X
chr14,95582004,95582158,154,Exon,DICER1,yes,NM_030621:exon12,1X
chr14,95582790,95583032,242,Exon,DICER1,yes,NM_030621:exon11,1X
chr14,95583959,95584091,132,Exon,DICER1,yes,NM_030621:exon10,1X
chr14,95590533,95591005,472,Exon,DICER1,yes,NM_030621:exon9,1X
chr14,95592917,95593085,168,Exon,DICER1,yes,NM_030621:exon8,1X
chr14,95595809,95595969,160,Exon,DICER1,yes,NM_030621:exon7,1X
chr14,95596395,95596529,134,Exon,DICER1,yes,NM_030621:exon6,1X
chr14,95597846,95597976,130,Exon,DICER1,yes,NM_030621:exon5,1X
chr14,95598852,95599014,162,Exon,DICER1,yes,NM_030621:exon4,1X
chr14,95599652,95599795,143,Exon,DICER1,yes,NM_030621:exon3,1X
chr7,55240818,55241613,795,Intron,EGFR,,NM_005228:intron17,1X
chr7,55268107,55268880,773,Intron,EGFR,,NM_005228:intron24,1X
chr7,55269049,55269427,378,Intron,EGFR,,NM_005228:intron25,1X
chr7,55269476,55270209,733,Intron,EGFR,,NM_005228:intron26,1X
chr7,55221846,55223521,1675,Intron,EGFR,,NM_005228:intron7,1X
chr7,55086971,55087058,87,Exon,EGFR,,NM_005228:exon1,1X
chr7,55209979,55210130,151,Exon,EGFR,,NM_005228:exon2,1X
chr7,55210998,55211181,183,Exon,EGFR,,NM_005228:exon3,1X
chr7,55214299,55214433,134,Exon,EGFR,,NM_005228:exon4,1X
chr7,55218987,55219055,68,Exon,EGFR,,NM_005228:exon5,1X
chr7,55220239,55220357,118,Exon,EGFR,,NM_005228:exon6,1X
chr7,55221704,55221845,141,Exon,EGFR,,NM_005228:exon7,1X
chr7,55223523,55223639,116,Exon,EGFR,,NM_005228:exon8,1X
chr7,55224226,55224352,126,Exon,EGFR,,NM_005228:exon9,1X
chr7,55224452,55224536,84,Exon,EGFR,,NM_005228:exon10,1X
chr7,55225356,55225446,90,Exon,EGFR,,NM_005228:exon11,1X
chr7,55227832,55228031,199,Exon,EGFR,,NM_005228:exon12,1X
chr7,55229192,55229324,132,Exon,EGFR,,NM_005228:exon13,1X
chr7,55231426,55231516,90,Exon,EGFR,,NM_005228:exon14,1X
chr7,55232973,55233130,157,Exon,EGFR,,NM_005228:exon15,1X
chr7,55238868,55238906,38,Exon,EGFR,,NM_005228:exon16,1X
chr7,55240676,55240817,141,Exon,EGFR,,NM_005228:exon17,1X
chr7,55241614,55241736,122,Exon,EGFR,,NM_005228:exon18,1X
chr7,55242415,55242513,98,Exon,EGFR,,NM_005228:exon19,1X
chr7,55248986,55249171,185,Exon,EGFR,,NM_005228:exon20,1X
chr7,55259412,55259567,155,Exon,EGFR,,NM_005228:exon21,1X
chr7,55260459,55260534,75,Exon,EGFR,,NM_005228:exon22,1X
chr7,55266410,55266556,146,Exon,EGFR,,NM_005228:exon23,1X
chr7,55268009,55268106,97,Exon,EGFR,,NM_005228:exon24,1X
chr7,55268881,55269048,167,Exon,EGFR,,NM_005228:exon25,1X
chr7,55269428,55269475,47,Exon,EGFR,,NM_005228:exon26,1X
chr7,55270210,55270458,248,Exon,EGFR,,NM_005228:exon27,1X
chr7,55272949,55273310,361,Exon,EGFR,,NM_005228:exon28,1X
chr17,37856492,37856564,72,Exon,ERBB2,,NM_004448:exon1,1X
chr17,37863243,37863394,151,Exon,ERBB2,,NM_004448:exon2,1X
chr17,37864574,37864787,213,Exon,ERBB2,,NM_004448:exon3,1X
chr17,37865571,37865705,134,Exon,ERBB2,,NM_004448:exon4,1X
chr17,37866066,37866134,68,Exon,ERBB2,,NM_004448:exon5,1X
chr17,37866339,37866454,115,Exon,ERBB2,,NM_004448:exon6,1X
chr17,37866593,37866734,141,Exon,ERBB2,,NM_004448:exon7,1X
chr17,37868181,37868300,119,Exon,ERBB2,,NM_004448:exon8,1X
chr17,37868575,37868701,126,Exon,ERBB2,,NM_004448:exon9,1X
chr17,37871539,37871612,73,Exon,ERBB2,,NM_004448:exon10,1X
chr17,37871699,37871789,90,Exon,ERBB2,,NM_004448:exon11,1X
chr17,37871993,37872192,199,Exon,ERBB2,,NM_004448:exon12,1X
chr17,37872554,37872686,132,Exon,ERBB2,,NM_004448:exon13,1X
chr17,37872768,37872858,90,Exon,ERBB2,,NM_004448:exon14,1X
chr17,37873573,37873733,160,Exon,ERBB2,,NM_004448:exon15,1X
chr17,37876040,37876087,47,Exon,ERBB2,,NM_004448:exon16,1X
chr17,37879572,37879710,138,Exon,ERBB2,,NM_004448:exon17,1X
chr17,37879791,37879913,122,Exon,ERBB2,,NM_004448:exon18,1X
chr17,37880165,37880263,98,Exon,ERBB2,,NM_004448:exon19,1X
chr17,37880979,37881164,185,Exon,ERBB2,,NM_004448:exon20,1X
chr17,37881302,37881457,155,Exon,ERBB2,,NM_004448:exon21,1X
chr17,37881580,37881655,75,Exon,ERBB2,,NM_004448:exon22,1X
chr17,37881960,37882106,146,Exon,ERBB2,,NM_004448:exon23,1X
chr17,37882815,37882912,97,Exon,ERBB2,,NM_004448:exon24,1X
chr17,37883068,37883256,188,Exon,ERBB2,,NM_004448:exon25,1X
chr17,37883548,37883800,252,Exon,ERBB2,,NM_004448:exon26,1X
chr17,37883942,37884297,355,Exon,ERBB2,,NM_004448:exon27,1X
chr12,12006496,12022357,15861,Intron,ETV6,,ETV6:intron4,1X
chr12,12022904,12037378,14474,Intron,ETV6,,ETV6:intron5,1X
chr22,29683124,29684594,1470,Intron,EWSR1,,NM_013986:intron8,1X
chr22,29684776,29687553,2777,Intron,EWSR1,,NM_013986:intron9,1X
chr22,29687589,29688125,536,Intron,EWSR1,,NM_013986:intron10,1X
chr22,29688159,29688476,317,Intron,EWSR1,,NM_013986:intron11,1X
chr22,29688596,29692228,3632,Intron,EWSR1,,NM_013986:intron12,1X
chr22,29692359,29693816,1457,Intron,EWSR1,,NM_013986:intron13,1X
chr22,29693940,29694722,782,Intron,EWSR1,,NM_013986:intron14,1X
chr8,38271146,38271322,176,Exon,FGFR1,,NM_001174067:exon19,1X
chr8,38271436,38271541,105,Exon,FGFR1,,NM_001174067:exon18,1X
chr8,38271670,38271807,137,Exon,FGFR1,,NM_001174067:exon17,1X
chr8,38272077,38272147,70,Exon,FGFR1,,NM_001174067:exon16,1X
chr8,38272297,38272419,122,Exon,FGFR1,,NM_001174067:exon15,1X
chr8,38273388,38273578,190,Exon,FGFR1,,NM_001174067:exon14,1X
chr8,38274824,38274934,110,Exon,FGFR1,,NM_001174067:exon13,1X
chr8,38275388,38275509,121,Exon,FGFR1,,NM_001174067:exon12,1X
chr8,38275746,38275891,145,Exon,FGFR1,,NM_001174067:exon11,1X
chr8,38277051,38277253,202,Exon,FGFR1,,NM_001174067:exon10,1X
chr8,38279166,38279459,293,Exon,FGFR1,,NM_001174067:exon9,1X
chr8,38281787,38282217,430,Exon,FGFR1,,NM_001174067:exon8,1X
chr8,38283640,38283763,123,Exon,FGFR1,,NM_001174067:exon7,1X
chr8,38285439,38285611,172,Exon,FGFR1,,NM_001174067:exon6,1X
chr8,38285864,38285953,89,Exon,FGFR1,,NM_001174067:exon5,1X
chr8,38287200,38287466,266,Exon,FGFR1,,NM_001174067:exon4,1X
chr8,38297824,38297890,66,Exon,FGFR1,,NM_001174064:exon3,1X
chr8,38314874,38315052,178,Exon,FGFR1,,NM_001174067:exon3,1X
chr8,38318614,38318624,10,Exon,FGFR1,,NM_001174067:exon2,1X
chr10,123243318,123244907,1589,Intron,FGFR2,,FGFR2:intron16,1X
chr10,123239536,123243211,3675,Intron,FGFR2,,FGFR2:intron17,1X
chr4,1807901,1807982,81,Intron,FGFR2,,FGFR3:intron15,1X
chr4,1808055,1808271,216,Intron,FGFR3,,FGFR3:intron16,1X
chr4,1808411,1808554,143,Intron,FGFR3,,FGFR3:intron17,1X
chr4,1808662,1808842,180,Intron,FGFR3,,FGFR3:intron18,1X
chr19,3114942,3115070,128,Exon,GNA11,,NM_002067:exon4,1X
chr19,3118922,3119051,129,Exon,GNA11,,NM_002067:exon5,1X
chr9,80409379,80409508,129,Exon,GNAQ,,NM_002072:exon5,1X
chr9,80412436,80412564,128,Exon,GNAQ,,NM_002072:exon4,1X
chr20,57484405,57484478,73,Exon,GNAS,,NM_000516:exon8,1X
chr1,226252030,226252180,150,Exon,H3F3A,,NM_002107:exon2,1X
chr17,73775128,73775265,137,Exon,H3F3B,,NM_005324:exon2,1X
chr6,26031878,26032288,410,Exon,HIST1H3B,,NM_003537:exon1,1X
chr2,209113093,209113384,291,Exon,IDH1,,NM_005896:exon4,1X
chr15,90631819,90631979,160,Exon,IDH2,,NM_002168:exon4,1X
chr4,55524182,55524248,66,Exon,KIT,yes,NM_000222:exon1,1X
chr4,55561678,55561947,269,Exon,KIT,yes,NM_000222:exon2,1X
chr4,55564450,55564731,281,Exon,KIT,yes,NM_000222:exon3,1X
chr4,55565796,55565932,136,Exon,KIT,yes,NM_000222:exon4,1X
chr4,55569890,55570058,168,Exon,KIT,yes,NM_000222:exon5,1X
chr4,55573264,55573453,189,Exon,KIT,yes,NM_000222:exon6,1X
chr4,55575590,55575705,115,Exon,KIT,yes,NM_000222:exon7,1X
chr4,55589750,55589864,114,Exon,KIT,yes,NM_000222:exon8,1X
chr4,55592023,55592216,193,Exon,KIT,yes,NM_000222:exon9,1X
chr4,55593384,55593490,106,Exon,KIT,yes,NM_000222:exon10,1X
chr4,55593582,55593708,126,Exon,KIT,yes,NM_000222:exon11,1X
chr4,55593989,55594093,104,Exon,KIT,yes,NM_000222:exon12,1X
chr4,55594177,55594287,110,Exon,KIT,yes,NM_000222:exon13,1X
chr4,55595501,55595651,150,Exon,KIT,yes,NM_000222:exon14,1X
chr4,55597494,55597585,91,Exon,KIT,yes,NM_000222:exon15,1X
chr4,55598037,55598164,127,Exon,KIT,yes,NM_000222:exon16,1X
chr4,55599236,55599358,122,Exon,KIT,yes,NM_000222:exon17,1X
chr4,55602664,55602775,111,Exon,KIT,yes,NM_000222:exon18,1X
chr4,55602887,55602986,99,Exon,KIT,yes,NM_000222:exon19,1X
chr4,55603341,55603446,105,Exon,KIT,yes,NM_000222:exon20,1X
chr4,55604595,55604723,128,Exon,KIT,yes,NM_000222:exon21,1X
chr12,25378548,25378707,159,Exon,KRAS,,NM_033360:exon4,1X
chr12,25380168,25380346,178,Exon,KRAS,,NM_033360:exon3,1X
chr12,25398208,25398318,110,Exon,KRAS,,NM_033360:exon2,1X
chr7,116411709,116411902,193,Intron,MET,,MET:intron13,1X
chr7,116411903,116412043,140,Exon,MET,,NM_000245:exon14,1X
chr7,116412044,116414934,2890,Intron,MET,,MET:intron14,1X
chr3,38182623,38182777,154,Exon,MYD88,,NM_002468:exon5,1X
chr1,156844419,156844697,278,Intron,NTRK1,,NTRK1:intron10,1X
chr1,156844801,156845311,510,Intron,NTRK1,,NTRK1:intron11,1X
chr1,156845459,156845871,412,Intron,NTRK1,,NTRK1:intron12,1X
chr1,156834592,156836700,2108,Intron,NTRK1,,NTRK1:intron3,1X
chr1,156841548,156843423,1875,Intron,NTRK1,,NTRK1:intron7,1X
chr1,156843752,156844174,422,Intron,NTRK1,,NTRK1:intron8,1X
chr1,156844193,156844362,169,Intron,NTRK1,,NTRK1:intron9,1X
chr9,87476003,87482157,6154,Intron,NTRK2,,NTRK2:intron15,1X
chr1,115251156,115251275,119,Exon,NRAS,,NM_002524:exon5,1X
chr1,115252190,115252349,159,Exon,NRAS,,NM_002524:exon4,1X
chr1,115256421,115256599,178,Exon,NRAS,,NM_002524:exon3,1X
chr1,115258671,115258781,110,Exon,NRAS,,NM_002524:exon2,1X
chr10,89624227,89624305,78,Exon,PTEN,,NM_000314:exon1,1X
chr10,89653782,89653866,84,Exon,PTEN,,NM_000314:exon2,1X
chr10,89685270,89685314,44,Exon,PTEN,,NM_000314:exon3,1X
chr10,89690803,89690846,43,Exon,PTEN,,NM_000314:exon4,1X
chr10,89692770,89693008,238,Exon,PTEN,,NM_000314:exon5,1X
chr10,89711875,89712016,141,Exon,PTEN,,NM_000314:exon6,1X
chr10,89717610,89717776,166,Exon,PTEN,,NM_000314:exon7,1X
chr10,89720651,89720875,224,Exon,PTEN,,NM_000314:exon8,1X
chr10,89725044,89725229,185,Exon,PTEN,,NM_000314:exon9,1X
chr11,65429677,65430296,619,Intron,RELA,,NM_021975:intron1,1X
chr11,65429560,65429649,89,Intron,RELA,,NM_021975:intron2,1X
chr10,43610185,43612031,1846,Intron,RET,,NM_020975:intron11,2X
chr10,43609124,43609927,803,Intron,RET,,NM_020975:intron10,2X
chr10,43608412,43609003,591,Intron,RET,,NM_020975:intron9,2X
chr10,43606914,43607545,631,Intron,RET,,NM_020975:intron7,2X
chr10,43607673,43608299,626,Intron,RET,,NM_020975:intron8,2X
chr10,43572707,43572779,72,Exon,RET,,NM_020975:exon1,1X
chr10,43595907,43596170,263,Exon,RET,,NM_020975:exon2,1X
chr10,43597790,43598077,287,Exon,RET,,NM_020975:exon3,1X
chr10,43600400,43600641,241,Exon,RET,,NM_020975:exon4,1X
chr10,43601824,43602019,195,Exon,RET,,NM_020975:exon5,1X
chr10,43604479,43604678,199,Exon,RET,,NM_020975:exon6,1X
chr10,43606655,43606913,258,Exon,RET,,NM_020975:exon7,1X
chr10,43607547,43607672,125,Exon,RET,,NM_020975:exon8,1X
chr10,43608301,43608411,110,Exon,RET,,NM_020975:exon9,1X
chr10,43609004,43609123,119,Exon,RET,,NM_020975:exon10,1X
chr10,43609928,43610184,256,Exon,RET,,NM_020975:exon11,1X
chr10,43612032,43612179,147,Exon,RET,,NM_020975:exon12,1X
chr10,43613821,43613928,107,Exon,RET,,NM_020975:exon13,1X
chr10,43614979,43615193,214,Exon,RET,,NM_020975:exon14,1X
chr10,43615529,43615651,122,Exon,RET,,NM_020975:exon15,1X
chr10,43617394,43617464,70,Exon,RET,,NM_020975:exon16,1X
chr10,43619119,43619256,137,Exon,RET,,NM_020975:exon17,1X
chr10,43620331,43620430,99,Exon,RET,,NM_020975:exon18,1X
chr10,43622023,43622202,179,Exon,RET,,NM_020975:exon19,1X
chr10,43623560,43623717,157,Exon,RET,,NM_020975:exon20,1X
chr6,117658504,117662297,3793,Intron,ROS1,,NM_002944:intron30,2X
chr6,117650610,117658334,7724,Intron,ROS1,,NM_002944:intron31,2X
chr6,117647578,117650491,2913,Intron,ROS1,,NM_002944:intron32,2X
chr6,117645579,117647386,1807,Intron,ROS1,,NM_002944:intron33,2X
chr6,117642558,117645494,2936,Intron,ROS1,,NM_002944:intron34,2X
chr6,117641194,117642421,1227,Intron,ROS1,,NM_002944:intron35,2X
chr6,117609655,117609965,310,Exon,ROS1,,NM_002944:exon43,1X
chr6,117622137,117622300,163,Exon,ROS1,,NM_002944:exon42,1X
chr6,117629957,117630091,134,Exon,ROS1,,NM_002944:exon41,1X
chr6,117631244,117631444,200,Exon,ROS1,,NM_002944:exon40,1X
chr6,117632183,117632280,97,Exon,ROS1,,NM_002944:exon39,1X
chr6,117638306,117638435,129,Exon,ROS1,,NM_002944:exon38,1X
chr6,117639351,117639415,64,Exon,ROS1,,NM_002944:exon37,1X
chr6,117641031,117641193,162,Exon,ROS1,,NM_002944:exon36,1X
chr6,117642422,117642557,135,Exon,ROS1,,NM_002944:exon35,1X
chr6,117645495,117645578,83,Exon,ROS1,,NM_002944:exon34,1X
chr6,117647387,117647577,190,Exon,ROS1,,NM_002944:exon33,1X
chr6,117650492,117650609,117,Exon,ROS1,,NM_002944:exon32,1X
chr6,117658335,117658503,168,Exon,ROS1,,NM_002944:exon31,1X
chr6,117662298,117662474,176,Exon,ROS1,,NM_002944:exon30,1X
chr6,117662563,117662795,232,Exon,ROS1,,NM_002944:exon29,1X
chr6,117663563,117663707,144,Exon,ROS1,,NM_002944:exon28,1X
chr6,117665223,117665425,202,Exon,ROS1,,NM_002944:exon27,1X
chr6,117674153,117674332,179,Exon,ROS1,,NM_002944:exon26,1X
chr6,117677792,117678078,286,Exon,ROS1,,NM_002944:exon25,1X
chr6,117678967,117679172,205,Exon,ROS1,,NM_002944:exon24,1X
chr6,117680972,117681174,202,Exon,ROS1,,NM_002944:exon23,1X
chr6,117681505,117681568,63,Exon,ROS1,,NM_002944:exon22,1X
chr6,117683766,117684028,262,Exon,ROS1,,NM_002944:exon21,1X
chr6,117686223,117686367,144,Exon,ROS1,,NM_002944:exon20,1X
chr6,117686744,117686904,160,Exon,ROS1,,NM_002944:exon19,1X
chr6,117687239,117687453,214,Exon,ROS1,,NM_002944:exon18,1X
chr6,117700222,117700322,100,Exon,ROS1,,NM_002944:exon17,1X
chr6,117704480,117704671,191,Exon,ROS1,,NM_002944:exon16,1X
chr6,117706846,117707024,178,Exon,ROS1,,NM_002944:exon15,1X
chr6,117708052,117708162,110,Exon,ROS1,,NM_002944:exon14,1X
chr6,117708943,117709197,254,Exon,ROS1,,NM_002944:exon13,1X
chr6,117710513,117711009,496,Exon,ROS1,,NM_002944:exon12,1X
chr6,117714387,117714484,97,Exon,ROS1,,NM_002944:exon11,1X
chr6,117715325,117715509,184,Exon,ROS1,,NM_002944:exon10,1X
chr6,117715779,117715901,122,Exon,ROS1,,NM_002944:exon9,1X
chr6,117717351,117717427,76,Exon,ROS1,,NM_002944:exon8,1X
chr6,117718078,117718279,201,Exon,ROS1,,NM_002944:exon7,1X
chr6,117724302,117724440,138,Exon,ROS1,,NM_002944:exon6,1X
chr6,117725443,117725591,148,Exon,ROS1,,NM_002944:exon5,1X
chr6,117730745,117730805,60,Exon,ROS1,,NM_002944:exon4,1X
chr6,117737421,117737480,59,Exon,ROS1,,NM_002944:exon3,1X
chr6,117739625,117739669,44,Exon,ROS1,,NM_002944:exon2,1X
chr6,117746697,117746819,122,Exon,ROS1,,NM_002944:exon1,1X
chr22,24129357,24129449,92,Exon,SMARCB1,,NM_003073:exon1,1X
chr22,24133943,24134081,138,Exon,SMARCB1,,NM_003073:exon2,1X
chr22,24135746,24135875,129,Exon,SMARCB1,,NM_003073:exon3,1X
chr22,24143131,24143584,453,Exon,SMARCB1,,NM_003073:exon4,1X
chr22,24145482,24145609,127,Exon,SMARCB1,,NM_003073:exon5,1X
chr22,24158957,24159123,166,Exon,SMARCB1,,NM_003073:exon6,1X
chr22,24167412,24167602,190,Exon,SMARCB1,,NM_003073:exon7,1X
chr22,24175759,24175890,131,Exon,SMARCB1,,NM_003073:exon8,1X
chr22,24176328,24176367,39,Exon,SMARCB1,,NM_003073:exon9,1X
chr5,1295191,1295290,99,Promoter,TERT,,NM_198253:promoter,2X
chr17,7572927,7573008,81,Exon,TP53,,NM_000546:exon11,1X
chr17,7573927,7574033,106,Exon,TP53,,NM_000546:exon10,1X
chr17,7576853,7576926,73,Exon,TP53,,NM_000546:exon9,1X
chr17,7577019,7577155,136,Exon,TP53,,NM_000546:exon8,1X
chr17,7577499,7577608,109,Exon,TP53,,NM_000546:exon7,1X
chr17,7578138,7578289,151,Exon,TP53,,NM_000546:exon6,1X
chr17,7578371,7578554,183,Exon,TP53,,NM_000546:exon5,1X
chr17,7579312,7579590,278,Exon,TP53,,NM_000546:exon4,1X
chr17,7579700,7579721,21,Exon,TP53,,NM_000546:exon3,1X
chr17,7579839,7579940,101,Exon,TP53,,NM_000546:exon2,1X
chr4,55124936,55124984,48,Exon,PDGFRA,,NM_006206:exon2,1X
chr4,55127262,55127579,317,Exon,PDGFRA,,NM_006206:exon3,1X
chr4,55129834,55130094,260,Exon,PDGFRA,,NM_006206:exon4,1X
chr4,55131086,55131216,130,Exon,PDGFRA,,NM_006206:exon5,1X
chr4,55133456,55133627,171,Exon,PDGFRA,,NM_006206:exon6,1X
chr4,55133719,55133908,189,Exon,PDGFRA,,NM_006206:exon7,1X
chr4,55136800,55136915,115,Exon,PDGFRA,,NM_006206:exon8,1X
chr4,55138561,55138687,126,Exon,PDGFRA,,NM_006206:exon9,1X
chr4,55139704,55139897,193,Exon,PDGFRA,,NM_006206:exon10,1X
chr4,55140698,55140792,94,Exon,PDGFRA,,NM_006206:exon11,1X
chr4,55141008,55141140,132,Exon,PDGFRA,,NM_006206:exon12,1X
chr4,55143555,55143659,104,Exon,PDGFRA,,NM_006206:exon13,1X
chr4,55144063,55144173,110,Exon,PDGFRA,,NM_006206:exon14,1X
chr4,55144529,55144682,153,Exon,PDGFRA,,NM_006206:exon15,1X
chr4,55146483,55146699,216,Exon,PDGFRA,,NM_006206:exon16,1X
chr4,55151538,55151653,115,Exon,PDGFRA,,NM_006206:exon17,1X
chr4,55152008,55152130,122,Exon,PDGFRA,,NM_006206:exon18,1X
chr4,55153597,55153708,111,Exon,PDGFRA,,NM_006206:exon19,1X
chr4,55154966,55155065,99,Exon,PDGFRA,,NM_006206:exon20,1X
chr4,55155176,55155281,105,Exon,PDGFRA,,NM_006206:exon21,1X
chr4,55156480,55156721,241,Exon,PDGFRA,,NM_006206:exon22,1X
chr4,55161292,55161439,147,Exon,PDGFRA,,NM_006206:exon23,1X
chr5,149495326,149495509,183,Exon,PDGFRB,,NM_002609:exon23,1X
chr5,149497181,149497413,232,Exon,PDGFRB,,NM_002609:exon22,1X
chr5,149498310,149498415,105,Exon,PDGFRB,,NM_002609:exon21,1X
chr5,149499030,149499129,99,Exon,PDGFRB,,NM_002609:exon20,1X
chr5,149499575,149499686,111,Exon,PDGFRB,,NM_002609:exon19,1X
chr5,149500451,149500573,122,Exon,PDGFRB,,NM_002609:exon18,1X
chr5,149500767,149500885,118,Exon,PDGFRB,,NM_002609:exon17,1X
chr5,149501443,149501603,160,Exon,PDGFRB,,NM_002609:exon16,1X
chr5,149502605,149502764,159,Exon,PDGFRB,,NM_002609:exon15,1X
chr5,149503813,149503923,110,Exon,PDGFRB,,NM_002609:exon14,1X
chr5,149504290,149504394,104,Exon,PDGFRB,,NM_002609:exon13,1X
chr5,149505008,149505140,132,Exon,PDGFRB,,NM_002609:exon12,1X
chr5,149506083,149506177,94,Exon,PDGFRB,,NM_002609:exon11,1X
chr5,149509320,149509531,211,Exon,PDGFRB,,NM_002609:exon10,1X
chr5,149510102,149510225,123,Exon,PDGFRB,,NM_002609:exon9,1X
chr5,149511542,149511657,115,Exon,PDGFRB,,NM_002609:exon8,1X
chr5,149512313,149512505,192,Exon,PDGFRB,,NM_002609:exon7,1X
chr5,149513149,149513323,174,Exon,PDGFRB,,NM_002609:exon6,1X
chr5,149513444,149513571,127,Exon,PDGFRB,,NM_002609:exon5,1X
chr5,149514313,149514579,266,Exon,PDGFRB,,NM_002609:exon4,1X
chr5,149515118,149515441,323,Exon,PDGFRB,,NM_002609:exon3,1X
chr5,149516571,149516610,39,Exon,PDGFRB,,NM_002609:exon2,1X
chr3,178916614,178916965,351,Exon,PIK3CA,,NM_006218:exon2,1X
chr3,178917478,178917687,209,Exon,PIK3CA,,NM_006218:exon3,1X
chr3,178919078,178919328,250,Exon,PIK3CA,,NM_006218:exon4,1X
